Task ID, Time Spent (Hrs), User ID, End Date/Time, Start Date/Time
1, 0.001, Johan, 2009-11-26 12:31:13, 2009-11-26 12:31:09
2, 2.548, Johan, 2009-11-26 15:04:48, 2009-11-26 12:31:55
